label,municipality_name,lat,lon,osn_user_count,rsn_population,location_x,location_y
GM0262,Lochem,52.179461235400474,6.3468880616435985,9603,33402,220638.13822582623,466136.7279633775
GM0329,Loenen,52.22760484415963,5.02021668055417,2132,8501,129926.38461166694,471122.30712422
GM0809,Loon op zand,51.64054000674626,5.047567287159504,8472,23026,131489.90960196778,405798.7375873641
GM0331,Lopik,51.9853455878867,4.945624084022607,4804,14172,124666.11612190728,444197.4121297374
GM0024,Loppersum,53.340752404812235,6.728186116899001,3185,10451,244316.991749258,595758.2915086464
GM0168,Losser,52.30273180948743,7.002726144252458,7762,22641,265184.8120858523,480645.9907594584
GM0333,Maarssen,52.14793821460373,5.063803327620673,13994,38996,132864.83804850953,462244.4123380736
GM1671,Maasdonk,51.72993289513636,5.451696676424117,3788,11261,159455.6376308876,415691.1955592915
GM0263,Maasdriel,51.77622242550204,5.29702261418591,8976,23757,148776.30550468602,420842.9543757958
GM1641,Maasgouw,51.161575098396945,5.882478419676826,6911,24097,189645.83660795845,352576.1675892357
GM0556,Maassluis,51.925188578780684,4.248719731522366,10906,31590,76689.88637246496,438025.6733812184
GM0935,Maastricht,50.85295092856932,5.6995133337430754,52235,118468,176993.80850412112,318171.2540421642
GM0936,Margraten,50.806976227971155,5.793564672083599,3657,13405,183645.44974355423,313089.1523635675
GM0025,Marum,53.14940861312766,6.276526327418602,3881,10451,214498.16281074708,573998.4310074656
GM0420,Medemblik,52.717942653873585,5.0531422975998055,9252,27384,132427.56365887373,525669.637524244
GM0938,Meerssen,50.901420736433884,5.756430661158629,6024,19563,180974.8030363034,323582.1330079905
GM0083,Menaldumadeel,53.20936512067725,5.674108382215165,4625,13748,174168.2877246036,580341.8748935784
GM1987,Menterwolde,53.16680503265563,6.87846285682333,5171,12506,254726.23856973165,576599.3727172385
GM0119,Meppel,52.71589274269073,6.193919473821937,13503,32357,209511.00554644817,525693.7508705781
GM0687,Middelburg,51.501734181114486,3.6473492023654916,14352,48013,34203.14696824572,391743.2671544045
GM0559,Middelharnis,51.7417708859878,4.17268441912897,4915,17947,71119.35858375063,417706.1505998183
GM1842,Midden-delfland,51.96473792710172,4.306197588856772,3861,17893,80708.72581116458,442365.0969128588
GM1731,Midden-drenthe,52.867358242177595,6.542779420397494,12728,33539,232813.21872532016,542866.7228203462
GM0815,Mill en sint hubert,51.68586039475967,5.767991430733974,3511,11025,181332.5420448178,410854.9282926338
GM0265,Millingen aan de rijn,51.86229027073287,6.0287705345922085,2599,5909,199192.64012792349,430609.6838086184
GM1709,Moerdijk,51.65858315067461,4.541801731696341,23207,36526,96503.98936860752,408090.8281384834
GM1955,Montferland,51.91689189630913,6.213826493803017,9007,35185,211870.26869444372,436812.9106993774
GM0335,Montfoort,52.04769176750537,4.944058625396823,4593,13487,124600.88965143348,451134.481547769
GM0944,Mook en middelaar,51.74742579630522,5.899605571332002,1925,8044,190385.649675062,417760.0511108696
GM0424,Muiden,52.32577852337781,5.075461095267725,2209,6502,133747.77069147406,482027.6593443085
GM0425,Naarden,52.29865762642683,5.152857377734888,5496,17141,139014.28559308237,478990.2363789383
GM1740,Neder-betuwe,51.9158346154456,5.585513903105704,5430,22551,168643.9809245156,436390.3552159516
GM0643,Nederlek,51.90818031410735,4.676581455236212,5147,14088,106100.84458755776,435759.07527701766
GM0946,Nederweert,51.29429592192691,5.773206191173166,4686,16603,181923.96369233655,367295.0900608453
GM0304,Neerijnen,51.835396837357045,5.28285904713644,3606,11877,147808.24475872793,427427.6895203224
GM0412,Niedorp,52.7599015288798,4.879369950914986,3738,12136,120718.79211593942,530406.8553473853
GM0571,Nieuw-lekkerland,51.885480581056065,4.684126458107138,2831,9536,106595.59490872308,433228.6268855403
GM0356,Nieuwegein,52.03077518691985,5.0946701129986005,22424,60885,134925.0062154918,449200.06436672655
GM0569,Nieuwkoop,52.17081838444282,4.779404479857064,8691,26922,113420.68812490816,464914.8727011815
GM0104,Nijefurd,52.927644930182474,5.449628610439266,3704,10944,159197.66998346968,548954.34155424
GM0267,Nijkerk,52.21088125694142,5.485706333233616,12910,39531,161732.52839276567,469202.8152299055
GM0268,Nijmegen,51.83855495655839,5.836749443935785,73444,162955,185982.27541778807,427869.7491813181
GM1695,Noord-beveland,51.57414903400035,3.772271164785233,1958,7399,43053.935779973166,399598.56251407525
GM1699,Noordenveld,53.09563692857705,6.440332613797512,10112,30795,225544.2357545924,568162.5365092063
GM0171,Noordoostpolder,52.712580382727204,5.767285652218143,17557,46069,180684.87560762887,525088.4355662169
GM0575,Noordwijk,52.26890977542457,4.471039264493726,8906,25395,92464.03392490072,476049.59372878354
GM0576,Noordwijkerhout,52.271488886936915,4.5060198250248416,5598,15550,94855.15568711354,476306.9451815179
GM0820,"Nuenen, gerwen en nederwetten",51.47843085461819,5.549729657507465,6653,22198,166290.7765768795,387721.5927721322
GM0302,Nunspeet,52.33896742513483,5.786515131558262,8674,26731,182213.8072052988,483524.489867636
GM0951,Nuth,50.90547098525862,5.8596547709685245,4779,15659,188233.4671872436,324074.4939287392
GM0579,Oegstgeest,52.18500244159646,4.470692784339072,6787,22579,92322.4204374014,466714.7349864536
GM0823,Oirschot,51.49262914325252,5.289821107720771,5682,17761,148237.1719771946,389293.0620235739
GM0824,Oisterwijk,51.55203818414523,5.19757771912968,9009,25825,141848.2616256602,395915.0035893185
GM1895,Oldambt,53.19500567525001,7.055659547789905,14766,39469,266501.9912300421,579997.0245654407
GM0269,Oldebroek,52.456671756533204,5.937765462291793,8161,22743,192422.1164487624,496688.233227969
GM0173,Oldenzaal,52.307687384770276,6.91098842821736,12082,31985,258917.01850048828,481061.7595692894
GM1773,Olst-wijhe,52.36681633996011,6.153379634529304,5757,17551,207183.05948849625,486824.0837272263
GM0175,Ommen,52.51611163992794,6.4348032764780045,5755,17400,226109.24096075667,503674.39734111074
GM0881,Onderbanken,50.96998414874916,5.9665256462685115,2688,8108,195694.02772956516,331305.45377774606
GM1586,Oost gelre,52.00967877098447,6.575550623253535,13386,30023,236586.06202965075,447480.2092835299
GM0826,Oosterhout,51.637790816038915,4.864058467983772,18026,54141,118785.03188844444,405568.1225892223
GM0580,Oostflakkee,51.690254739826464,4.270874944484556,2709,10361,77812.5937940041,411866.6454875319
GM0085,Ooststellingwerf,52.9823673660891,6.282972843847052,9681,26234,215160.4007610852,555415.675629649
GM0431,Oostzaan,52.451996734437,4.8761804501623,3086,9148,120261.52247160635,496148.2026403674
GM0432,Opmeer,52.71532783175865,4.953389793175834,4102,11387,125685.65786793198,525414.4682600191
GM0086,Opsterland,53.04914479942767,6.112744545810202,9986,30033,203653.27045220905,562718.1117713763
GM0828,Oss,51.7797320635048,5.579731031425062,29747,77399,168286.24601767978,421247.1862652772
GM0584,Oud-beijerland,51.80982783000577,4.413442390797865,8460,23557,87847.87287895275,425027.2927748959
GM1509,Oude ijsselstreek,51.90775497627336,6.409415958843175,12058,39893,225340.22277102584,435967.6423490155
GM0437,Ouder-amstel,52.28937324064443,4.913484258002522,3343,13082,122679.06929589268,478036.9575857395
GM0644,Ouderkerk,51.95592278643374,4.667579066808363,2192,8148,105533.9786111466,441076.6511037815
GM0589,Oudewater,52.02737731457416,4.864137703584898,3143,9838,119102.20803894104,448910.8378589964
GM1734,Overbetuwe,51.92432673471795,5.7781758539430434,14182,45585,181894.13139744743,437388.9196738368
GM0590,Papendrecht,51.83322448882073,4.703390289530744,12224,31847,107867.14660573646,427402.3787737187
GM1894,Peel en maas,51.33628834685751,5.994766830097693,13204,43034,197338.74320934407,372071.88095730206
GM0765,Pekela,53.07062875797156,6.972983153056677,5309,13056,261281.97301324003,566033.0736652409
GM1926,Pijnacker-nootdorp,52.017534268290376,4.421905679884733,15444,48003,88738.38252197953,448126.747066278
GM0439,Purmerend,52.50214187393119,4.971081399902023,32222,79020,126744.7152481444,501686.3667236094
GM0273,Putten,52.243174357300816,5.584492702378705,7998,23593,168474.6592000472,472809.5767103234
GM0177,Raalte,52.38781593869591,6.279119906131398,12224,36798,215717.9888978888,489258.4967329413
GM0595,Reeuwijk,52.047636051318264,4.759661019840548,3957,13059,111951.59755934052,451221.519500201
GM0703,Reimerswaal,51.437058792463816,4.136957057960408,5903,21475,68070.17381033089,383851.445945834
GM0274,Renkum,51.98966867377583,5.784865128424443,8720,31643,182314.46064369276,444661.0854376191
GM0339,Renswoude,52.069110620321624,5.5341687667750845,1633,4600,165076.85388305123,453435.03779028
GM1667,Reusel-de mierden,51.37820770480639,5.14776823618646,3619,12552,138330.15256679413,376586.37524953793
GM0275,Rheden,52.03352845491967,6.051224652205315,13245,43714,200565.14421166055,449674.43608601054
GM0340,Rhenen,51.98074127941472,5.560462511470502,5784,18847,166903.19031892114,443607.23834833567
GM0597,Ridderkerk,51.86867025198347,4.596269093725585,15444,44743,100526.72429485543,431420.6067892964
